bag_path,imu_topic,map_time,iteration_step,p_IinL.x,p_IinL.y,p_IinL.z,q_ItoL.x,q_ItoL.y,q_ItoL,q_ItoL.w,time_offset,gravity.x,gravity.y,gravity.z,gyro_bias.x,gyro_bias.y,gyro_bias.z,acce_bias.z,acce_bias.y,acce_bias.z
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,0,-0.0482363,-0.0356993,-0.0183443,-0.00135444,-0.00790219,0.727329,0.686242,0,-0.670243,-0.65516,9.74503,-0.00037345,0.000105357,0.000272736,-0.0602972,0.137668,-0.0115294
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,1,-0.0517603,-0.0277097,-0.0171125,-0.000435554,-0.00661112,0.725432,0.688262,0,-0.671012,-0.659418,9.74469,-0.000411438,7.83917e-05,0.000270135,-0.0601898,0.13755,-0.0114562
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,2,-0.0531056,-0.0225062,-0.00248288,0.0012321,-0.00535382,0.724012,0.689766,0,-0.718408,-0.690109,9.73919,-0.000399141,1.79405e-05,0.000243619,-0.0583188,0.111056,-0.0108558
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,3,-0.0493205,-0.01853,0.0224548,0.00200837,-0.00591258,0.723131,0.690683,0,-0.739946,-0.683569,9.73803,-0.00035722,9.35269e-05,0.000180915,-0.0543556,0.056496,-0.0108478
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,4,-0.0266022,-0.0154332,0.0655963,0.00128722,-0.00449137,0.72178,0.692107,0,-0.678567,-0.631063,9.74605,-0.000300253,4.94022e-05,0.000172154,-0.0507457,0.0192679,-0.0117256
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,5,-0.0123516,-0.0152876,0.0926991,0.000762984,-0.00403153,0.720581,0.693358,0,-0.676334,-0.614277,9.74727,-0.000256463,4.51567e-05,0.000152011,-0.0506279,0.00331314,-0.012249
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,6,-0.0143105,-0.0117318,0.089903,5.35404e-05,-0.0034743,0.719919,0.694049,0,-0.669428,-0.608317,9.74812,-0.00024456,5.10368e-05,0.000132189,-0.0507521,0.00310518,-0.0122741
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,0,-0.0424578,-0.0581133,-0.0188061,-0.00115269,-0.0080452,0.727458,0.686104,0,-0.833661,-0.507544,9.74123,-0.000436809,-0.000282118,-0.00013117,-0.0606095,0.15756,-0.0186698
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,1,-0.0451699,-0.0524207,-0.0275772,-0.00138649,-0.00857027,0.726463,0.687151,0,-0.83367,-0.507586,9.74122,-0.000445281,-0.000300443,-0.000118741,-0.0605961,0.157609,-0.0186466
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,2,-0.0467704,-0.0442838,-0.0342573,-0.00240731,-0.00744083,0.725757,0.687907,0,-0.834037,-0.510792,9.74103,-0.000476583,-0.000407069,-0.000137109,-0.0605493,0.157681,-0.0185725
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,3,-0.0481642,-0.0389838,-0.0186934,-0.00122655,-0.00521525,0.72479,0.688949,0,-0.804733,-0.7041,9.73143,-0.000298371,-0.000427186,-4.73398e-05,-0.0579203,0.122137,-0.0148264
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,4,0.0261993,-0.0530493,0.0909314,-0.000339063,-0.00639112,0.723989,0.689782,0,-0.707101,-0.645731,9.74306,-0.000128761,-0.000116402,-0.000114979,-0.0521063,0.00569824,-0.0114391
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,5,0.0247727,-0.0490064,0.0867495,-0.00147961,-0.0055475,0.723873,0.68991,0,-0.756006,-0.393604,9.75283,-8.61268e-05,-6.72775e-05,-6.25344e-05,-0.0524598,0.000144927,-0.0116879
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,6,0.0232436,-0.0440822,0.0878359,-0.0020417,-0.00496665,0.722882,0.690951,0,-0.753438,-0.335478,9.7552,-7.48217e-05,-4.64824e-05,-3.37424e-05,-0.0532152,-0.00493999,-0.0118737
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,7,0.0194944,-0.0339415,0.100469,-0.00194454,-0.00422324,0.721692,0.692199,0,-0.73473,-0.311187,9.75743,-6.46571e-05,-1.75606e-05,1.5846e-06,-0.0523388,-0.00971008,-0.0119593
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,8,0.0169809,-0.028549,0.0973211,-0.00186481,-0.00395151,0.720985,0.692937,0,-0.734628,-0.280607,9.75836,-5.04285e-05,-2.07437e-05,6.47663e-06,-0.0525252,-0.0103418,-0.0120038
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,9,0.0169828,-0.0285245,0.0973205,-0.00186363,-0.00395071,0.720984,0.692938,0,-0.734628,-0.280607,9.75836,-5.04285e-05,-2.07437e-05,6.47662e-06,-0.0525252,-0.0103418,-0.0120038
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,10,0.0169827,-0.0285108,0.097318,-0.00186273,-0.00394953,0.720984,0.692938,0,-0.734628,-0.280607,9.75836,-5.04285e-05,-2.07437e-05,6.47659e-06,-0.0525252,-0.0103418,-0.0120038
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,11,0.0169827,-0.0285108,0.097318,-0.00186273,-0.00394953,0.720984,0.692938,0,-0.734628,-0.280607,9.75836,-5.04285e-05,-2.07437e-05,6.47659e-06,-0.0525252,-0.0103418,-0.0120038
/home/work/catkin_calib/pandar40p-h30.bag,/sensor/imu/data,1.73091e+09,12,0.0169827,-0.0285108,0.097318,-0.00186273,-0.00394953,0.720984,0.692938,0,-0.734628,-0.280607,9.75836,-5.04285e-05,-2.07437e-05,6.47659e-06,-0.0525252,-0.0103418,-0.0120038
